43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       640    948.22     -4.35     -6.74     83.38      3.97      0.00      2.11      2.23     50.00      3.81     60.00      1.36      1.61         0         0         2       128
       650    948.07     -3.41     -6.46     79.38      4.12      0.00      1.85      2.04     48.00      4.14     82.00      1.25      1.37         0         0         2       128
       660    948.00     -3.79     -6.55     81.07      3.95      0.00      2.61      2.71     53.00      4.39     66.00      1.57      2.08         0         0         2       128
       670    948.13     -3.98     -6.59     82.01      4.03      0.00      1.76      1.85     40.00      4.27     16.00      1.34      1.14         0         0         2       128
       680    948.00     -2.86     -6.26     77.36      4.15      0.00      2.14      2.23     23.00      4.42      5.00      1.97      0.84         0         0         2       128
       690    948.03     -3.86     -6.63     81.02      4.06      0.00      2.53      2.58     29.00      3.83     15.00      2.21      1.24         0         0         2       128
       700    948.05     -3.59     -6.85     78.07      4.03      0.00      2.15      2.27     38.00      3.86     21.00      1.69      1.32         0         0         2       128
       710    947.97     -3.33     -6.62     77.93      4.09      0.00      1.87      1.98     60.00      3.45     80.00      0.92      1.62         0         0         2       128
       720    947.98     -3.91     -6.74     80.62      4.16      0.00      1.31      1.50     78.00      2.98    104.00      0.26      1.29         0         0         2       128
       730    947.94     -3.70     -6.39     81.53      3.96      0.00      0.73      1.12     31.00      2.30    358.00      0.62      0.38         0         0         2       128
       740    947.93     -3.45     -6.21     81.11      4.02      0.00      1.28      1.41     51.00      2.73     28.00      0.80      1.00         0         0         2       128
       750    948.05     -3.49     -6.16     81.72      3.96      0.00      0.76      1.01     77.00      2.51     85.00      0.17      0.74         0         0         2       128
       760    948.03     -3.02     -5.96     80.10      3.82      0.00      1.12      1.29     28.00      3.35     10.00      0.98      0.53         0         0         2       128
       770    948.16     -3.92     -6.39     82.94      3.69      0.00      1.22      1.33    323.00      2.25    302.00      0.98     -0.73         0         0         2       128
       780    948.26     -3.42     -6.19     81.11      3.64      0.00      0.84      1.12    355.00      2.22      8.00      0.84     -0.07         0         0         2       128
       790    948.29     -3.84     -6.11     84.21      3.52      0.00      1.39      1.52    286.00      3.74    286.00      0.38     -1.34         0         0         2       128
       800    948.38     -3.63     -6.05     83.26      3.31      0.00      1.89      1.94    273.00      3.44    278.00      0.11     -1.89         0         0         2       128
       810    948.49     -3.88     -6.19     83.95      3.46      0.00      2.18      2.23    275.00      3.81    275.00      0.20     -2.17         0         0         2       128
       820    948.64     -3.84     -6.07     84.48      3.49      0.00      2.35      2.43    283.00      3.83    263.00      0.54     -2.29         0         0         2       128
       830    948.83     -4.02     -6.38     83.61      3.28      0.00      2.52      2.58    276.00      4.49    258.00      0.27     -2.51         0         0         2       128
       840    948.92     -3.69     -6.16     82.90      3.14      0.00      1.48      1.55    284.00      3.13    277.00      0.37     -1.44         0         0         2       128
       850    949.10     -3.65     -6.36     81.41      3.16      0.00      1.05      1.28    327.00      2.38    338.00      0.88     -0.57         0         0         2       128
       860    949.19     -3.46     -6.52     79.30      3.18      0.00      1.40      1.52    284.00      3.79    258.00      0.34     -1.36         0         0         2       128
       870    949.35     -3.92     -6.66     81.23      3.15      0.00      1.87      1.95    285.00      3.32    277.00      0.48     -1.80         0         0         2       128
       880    949.51     -3.96     -6.58     81.98      3.10      0.00      2.36      2.44    289.00      4.04    279.00      0.79     -2.22         0         0         2       128
       890    949.63     -3.93     -6.63     81.46      3.08      0.00      1.91      1.99    288.00      3.41    273.00      0.59     -1.82         0         0         2       128
       900    949.74     -3.69     -6.45     81.10      2.87      0.00      0.74      0.84    341.00      1.75    294.00      0.70     -0.23         0         0         2       128
       910    949.88     -3.56     -6.34     80.97      2.77      0.00      0.78      0.97    278.00      1.84    248.00      0.12     -0.78         0         0         2       128
       920    949.99     -3.46     -6.49     79.51      2.53      0.00      1.47      1.52    247.00      2.82    264.00     -0.57     -1.35         0         0         2       128
       930    950.15     -3.50     -6.46     79.88      2.23      0.00      1.76      1.83    180.00      3.11    174.00     -1.76     -0.01         0         0         2       128
       940    950.35     -3.23     -6.20     79.86      1.98      0.00      1.20      1.35    211.00      2.65    191.00     -1.03     -0.61         0         0         2       128
       950    950.52     -3.57     -6.46     80.34      1.59      0.00      1.17      1.28    166.00      2.45    168.00     -1.14      0.29         0         0         2       128
       960    950.70     -3.14     -6.16     79.61      1.08      0.00      1.33      1.62    190.00      2.80    180.00     -1.31     -0.24         0         0         2       128
       970    950.86     -2.77     -6.10     77.76      0.29      0.00      1.42      1.49    164.00      2.71    184.00     -1.37      0.39         0         0         2       128
       980    951.07     -3.34     -6.34     79.64     -0.27      0.00      1.51      1.60    184.00      2.61    176.00     -1.51     -0.11         0         0         2       128
       990    951.25     -3.27     -6.38     79.04     -0.72      0.00      1.12      1.29    212.00      2.91    176.00     -0.95     -0.59         0         0         2       128
      1000    951.38     -3.46     -6.59     78.90     -0.85      0.00      1.37      1.50    198.00      3.21    176.00     -1.30     -0.43         0         0         2       128
      1010    951.47     -3.64     -6.56     80.17     -1.09      0.00      2.24      2.27    188.00      3.61    175.00     -2.22     -0.32         0         0         2       128
      1020    951.61     -3.78     -6.69     80.15     -1.05      0.00      1.97      2.02    186.00      3.26    191.00     -1.96     -0.22         0         0         2       128
      1030    951.80     -3.71     -6.62     80.17     -1.11      0.00      1.17      1.29    192.00      2.80    178.00     -1.14     -0.25         0         0         2       128
      1040    951.92     -3.49     -6.64     78.78     -1.16      0.00      0.49      0.71    228.00      1.80    183.00     -0.33     -0.37         0         0         2       128
      1050    952.06     -3.32     -6.37     79.42     -1.08      0.00      0.79      0.89    225.00      2.00    183.00     -0.56     -0.56         0         0         2       128
      1060    952.19     -3.50     -6.49     79.71     -1.14      0.00      0.98      1.09    252.00      2.35    258.00     -0.29     -0.93         0         0         2       128
      1070    952.28     -3.54     -6.31     81.04     -1.12      0.00      1.06      1.16    267.00      2.10    267.00     -0.05     -1.06         0         0         2       128
