44 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2012 06 20  2012 06 20
0.0
time in minutes since 2012-06-20 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

      1250    952.19     16.91     16.27     96.00  99999.00  99999.00  99999.00      0.60      0.75    160.00      1.17    160.00     -0.56      0.21         0        40      9999         0
      1260    952.10     16.96     16.25     95.62  99999.00  99999.00  99999.00      0.72      0.75    180.00      1.12    170.00     -0.72      0.01         0        40      9999         0
      1270    952.04     17.15     16.20     94.15  99999.00  99999.00  99999.00      0.68      0.72    167.00      1.14    165.00     -0.66      0.16         0        40      9999         0
      1280    952.00     17.30     16.12     92.76  99999.00  99999.00  99999.00      0.69      0.71    228.00      1.12    243.00     -0.46     -0.51         0        40      9999         0
      1290    951.88     16.49     16.07     97.33  99999.00  99999.00  99999.00      0.48      0.57    156.00      1.20    138.00     -0.44      0.19         0        50      9999         0
      1300    951.79     16.44     16.00     97.22  99999.00  99999.00  99999.00      0.79      0.82    108.00      1.20    132.00     -0.24      0.75         0        40      9999         0
      1310    951.78     16.53     15.98     96.54  99999.00  99999.00  99999.00      0.90      0.97    151.00      1.51    172.00     -0.79      0.44         0        40      9999         0
      1320    951.88     16.31     15.90     97.45     -2.26     -0.40      0.00      0.71      0.85    122.00      1.58    162.00     -0.37      0.60         0        40         0         0
      1330    951.87     16.35     15.88     97.04     -2.24     -0.40      0.00      0.78      0.79     93.00      1.17    110.00     -0.04      0.78         0        40         0         0
      1340    951.90     16.16     15.77     97.52     -2.11     -0.40      0.00      0.76      0.77     98.00      1.04    107.00     -0.10      0.76         0        50         0         0
      1350    951.87     16.30     15.87     97.30     -2.15     -0.40      0.00      0.69      0.69     91.00      0.95    108.00     -0.01      0.69         0        40         0         0
      1360    951.85     16.17     15.81     97.73     -2.12     -0.40      0.00      0.60      0.61     87.00      0.80     90.00      0.04      0.60         0        40         0         0
      1370    951.73     16.01     15.61     97.49     -2.27     -0.40      0.00      0.89      0.90    105.00      1.14    105.00     -0.23      0.86         0        40         0         0
      1380    951.64     16.15     15.78     97.65     -2.33     -0.40      0.00      0.92      0.92     91.00      1.10     85.00     -0.01      0.92         0        40         0         0
      1390    951.58     15.90     15.49     97.41     -2.36     -0.40      0.00      0.97      0.97    105.00      1.26    108.00     -0.25      0.93         0        50         0         0
      1400    951.57     16.13     15.65     96.99     -2.35     -0.40      0.00      1.04      1.05    108.00      1.36    107.00     -0.32      0.99         0        40         0         0
      1410    951.50     15.88     15.44     97.26     -2.39     -0.50      0.00      1.04      1.04    100.00      1.36    107.00     -0.17      1.02         0        40         0         0
      1420    951.40     15.36     15.06     98.09     -2.41     -0.40      0.00      0.90      0.91    106.00      1.26    108.00     -0.25      0.86         0        50         0         0
      1430    951.33     16.03     15.55     96.97     -2.41     -0.50      0.00      0.97      0.97     92.00      1.10     95.00     -0.03      0.97         0        40         0         0
